Aachen Hbf;AC;Aken C;Aquisgrana;Aix-la-Chapelle;Aquisgrán;8000001
Aachen Schanz;;;;;;8070704
Aachen Süd(Gr);ACSG;;;;;8000403
Aachen West;;;;;;8000404
Aachen-Rothe Erde;;;;;;8000406
Aalen;AA;;;;;8000002
Abenden;Nideggen-Abenden;;;;;8007826
Abensberg;;;;;;8000410
Achern;;;;;;8000412
Achern Stadt;;;;;;8007001
Achim;;;;;;8000413
Achkarren;Vogtsburg-Achkarren;;;;;8007291
Achmer;;;;;;8000414
Achterwehr;;;;;;8000416
Adelebsen;;;;;;8000418
Adelschlag;;;;;;8000419
Adelsdorf(Mittelfr);Neuhof/Zenn-Adelsdorf;;;;;8000420
Adelsheim Nord;;;;;;8000423
Adelsheim Ost;;;;;;8000424
Adorf Gasthof Zum Scharfen Eck;;;;;;8071809
Adorf(Erzgeb);;;;;;8011002
Adorf(Vogtl);;;;;;8010001
Affaltrach;Obersulm-Affaltrach;;;;;8000431
Agatharied;Hausham-Agatharied;;;;;8000433
Agathenburg;;;;;;8000434
Aglasterhausen;;;;;;8007445
Aha;Schluchsee-Aha;;;;;8000436
Ahaus;AH;;;;;8000437
Ahlbeck Grenze;Seebad Ahlb. Grenze;;;;;8079084
Ahlbeck Ostseetherme;;;;;;8087025
Ahlen(Westf);;;;;;8000441
Ahlhorn;;;;;;8000442
Ahlten;Lehrte-Ahlten;;;;;8000443
Ahnatal Casselbreite;;;;;;8000457
Ahnatal-Heckershausen;;;;;;8002675
Ahnatal-Weimar;;;;;;8006286
Ahrbrück;Brück(Ahr);;;;;8001209
Ahrensburg;;;;;;8000446
Ahrensburg-Gartenholz;;;;;;8000480
Ahrensfelde;Berlin-Ahrensfelde;;;;;8011003
Ahrensfelde Friedhof;Berlin Ahrens Friedh;;;;;8011004
Ahrensfelde Nord;;;;;;8011005
Ahrweiler;AW;Bad Neuenahr-Ahrweil;;;;8000448
Ahrweiler Markt;Bad Neuenahr-Ahrw-Ma;;;;;8000449
Aich(Niederbay);Aich Niederbayern Bf;Bodenkirchen-Aich Bf;;;;8000451
Aichach;AIC;;;;;8000452
Aichstetten;;;;;;8000454
Aindorf;;;;;;8072132
Ainring;;;;;;8000459
Albbruck;;;;;;8000463
Albersdorf;;;;;;8000464
Albersweiler(Pfalz);;;;;;8000466
Albig;;;;;;8000468
Albisheim(Pfrimm);;;;;;8070252
Albrechtshaus;;;;;;8017000
Albrechtshof;Berlin-Albrechtshof;;;;;8080040
Albshausen;Solms-Albshausen;;;;;8000471
Albsheim(Eis);;;;;;8070096
Albstadt-Ebingen;;;;;;8000473
Albstadt-Ebingen West;;;;;;8079089
Albstadt-Laufen Ort;;;;;;8000474
Albstadt-Lautlingen;;;;;;8000475
Aldekerk;Kerken-Aldekerk;;;;;8000477
Aldingen(b Spaichingen);;;;;;8000481
Aletshausen;;;;;;8000482
Alexisbad;Harzgerode-Alexisbad;;;;;8017001
Alfeld(Leine);;;;;;8000483
Alfter-Impekoven;;;;;;8000495
Alfter-Witterschlick;;;;;;8006516
Algermissen;;;;;;8000488
Aligse;;;;;;8000489
Alken KD;;;;;;8075979
Allendorf(Dillkr);Haiger-Allendorf;;;;;8000492
Allendorf(Eder) Bf;;;;;;8000493
Allensbach;;;;;;8000496
Allersberg(Rothsee);;;;;;8000498
Allmendingen;;;;;;8000499
Alpen;;;;;;8000500
Alpirsbach;;;;;;8000501
Alsdorf Poststraße;;;;;;8000510
Alsdorf-Annapark;;;;;;8000502
Alsdorf-Busch;;;;;;8000507
Alsdorf-Kellersberg;;;;;;8000521
Alsdorf-Mariadorf;;;;;;8000527
Alsdorf(Westerw);Betzdorf-Alsdorf;;;;;8007078
Alsenz;;;;;;8000505
Alsfeld(Oberhess);ALS;;;;;8000350
Alsheim;;;;;;8000506
Alt Hüttendorf;Hüttendorf Alt;;;;;8011011
Alt Rosenthal;Rosenthal Alt;;;;;8011014
Alt Schwerin;Schwerin Alt;;;;;8011015
Altbach;Esslingen Altbach;;;;;8000508
Altdöbern;;;;;;8011016
Altdorf West;;;;;;8000504
Altdorf(b Nürnberg);;;;;;8000509
Altdorf(Niederbay);;;;;;8026354
Alte Veste;Fürth Alte Veste;;;;;8000511
Altefähr;;;;;;8011017
Altena(Westf);AL;;;;;8000513
Altenahr;;;;;;8000514
Altenau(Bay);Saulgrub-Altenau;;;;;8000515
Altenbach;;;;;;8011018
Altenbamberg;;;;;;8000517
Altenbeken;;;;;;8000004
Altenberge;;;;;;8000518
Altenburg;ABG;;;;;8010003
Altenerding;;;;;;8000524
Altenfeld(Rhön);Gersfeld-Altenfeld;;;;;8000525
Altenglan;;;;;;8000491
Altengörs;;;;;;8000526
Altenhasungen;Wolfhagen-Altenhasungen;;;;;8000530
Altenkirchen(Westerwald);AK;;;;;8000351
Altenmarkt(Alz);;;;;;8000533
Altenseelbach;Neunkirchen-Altensee;;;;;8000537
Altenstadt-Höchst;;;;;;8002886
Altenstadt-Lindheim;Lindheim(Altenstadt);;;;;8003698
Altenstadt(Hess);;;;;;8000538
Altenstadt(Iller);;;;;;8000539
Altenstadt(Waldnaab);;;;;;8000540
Altentreptow;AT;;;;;8011025
Altenwillershagen;;;;;;8011027
Altersbach;;;;;;8011028
Altes Lager;;;;;;8011968
Altglashütten-Falkau;Feldberg-Altglashü;;;;;8000544
Althegnenberg;;;;;;8000545
Altheim(Hess);Münster-Altheim(Hes;;;;;8000546
Althof;;;;;;8011031
Altingen(Württ);Ammerbuch-Altingen;;;;;8070591
Altmittweida;;;;;;8011033
Altmittweida Neusorger Straße;;;;;;8070945
Altmorschen;Morschen-Altmorschen;;;;;8000553
Altmügeln;;;;;;8070697
Altomünster;;;;;;8000556
Altoschatz-Rosenthal;;;;;;8070689
Altötting;AÖ;;;;;8000555
Altranft;;;;;;8011034
Altshausen;;;;;;8000559
Altstädten(Allgäu);Sonthofen-Altstädt.;;;;;8000561
Alttann;Wolfegg-Alttann;;;;;8000562
Alveslohe;;;;;;8070185
Alzenau Burg;;;;;;8077275
Alzenau Nord;;;;;;8077274
Alzenau(Unterfr);ALZ;;;;;8007275
Alzey;AZ;;;;;8000007
Alzey Süd;;;;;;8000558
Alzey West;;;;;;8007474
Amberg;AM;;;;;8000566
Amerang;;;;;;8070802
Ammern;;;;;;8011029
Amorbach;;;;;;8000575
Ampfing;;;;;;8000576
Amsdorf;;;;;;8011038
Amstetten(W) Lokalbahn;;;;;;8079075
Amstetten(Württ);;;;;;8000577
Amtshainersdorf;;;;;;8011039
Andernach;;;;;;8000331
Andernach KD;;;;;;8075950
Angermund;;;;;;8000579
Angermünde;ANG;;;;;8010004
Angern-Rogätz;;;;;;8011042
Angersbach;Wartenberg-Angersba.;;;;;8000580
Angersdorf;;;;;;8011043
Anklam;ANK;;;;;8011044
Annaberg-Buchholz Mitte;;;;;;8011045
Annaberg-Buchholz Süd;;;;;;8010005
Annaberg-Buchholz unterer Bf;ANA;;;;;8011047
Annaburg;;;;;;8011048
Annweiler am Trifels;;;;;;8000582
Annweiler-Sarnstall;;;;;;8005257
Anrath;Willich-Anrath;;;;;8000584
Ansbach;AN;;;;;8000009
Antonsthal;;;;;;8011049
Anwanden;Zirndorf-Anwanden;;;;;8000588
Anzefahr;Kirchhain-Anzefahr;;;;;8000589
Anzenkirchen;Triftern-Anzenkirch.;;;;;8000590
Apach(fr);Perl(Gr);;;;;8000591
Apensen;;;;;;8007831
Äpfingen;Maselheim-Äpfingen;;;;;8079092
Apolda;APD;;;;;8011051
Appenweier;;;;;;8000596
Archsum;;;;;;8084099
